item_code,2020,2021,2022,2023,2024
AAAAA00001,700,1220,1260,1020,1020
AAAAB00001,685000,1075000,1083278,1089230,1087626
AAAAC00001,690000,1085000,1065000,890000,860000
AAAAD00001,700,1220,1260,1020,1040
AAAAE00001,700,1220,1260,1020,1040
AAAAF00001,700,1220,1260,1020,1020
AAAAG00001,700,1220,1260,1270,1272
AAAAH00001,790000,1300000,1330000,1240000,1220000
AAAAI00001,760,1370,1220,900,910
AAAAJ00001,710,1190,1290,1110,1010
AAAAK00001,790,1380,1290,1050,1070
AAAAL00001,4690,7050,6990,6310,6210
AAAAM00001,3270,5070,4690,4170,4110
AAAAN00001,1671000,2341000,2441000,2441000,2441000
AAAAO00001,6790,11090,9980,9981,10000
AAAAP00001,1070,1390,1390,1390,1390
AAAAQ00001,1130,1460,1460,1460,1460
AAAAR00001,1250,1710,1710,1710,1710
AAAAS00001,2460,2760,2760,2760,2760
AAAAT00001,1710,2010,2010,2010,2010
AAAAU00001,980,1220,1350,1350,1350
AAAAV00001,36460,40460,40460,40460,40460
AAAAW00001,16,16,24,24,26
AAAHR00001,,,1095000,930000,900000
AAAHY00001,,,,1020,1020
AAAHZ00001,,,,7960,8550
ABAAX00001,3100000,3900000,4300000,4309890,4364303
ABAAY00001,8800,9000,9550,9576,9645
ABAAZ00001,1350,1650,3000,3000,3020
ABABA00001,2500,2500,3750,3755,3796
ABABB00001,1100,1730,1940,1960,1900
ABAIA00001,,,,3500000,3750000
ABAIB00001,,,,9550,9840
ABAIC00001,,,,3750,3750
ACABC00001,11290,15370,14630,14910,17260
ACABD00001,12000,16630,16220,16390,18450
ACABE00001,12340,16290,15470,15700,17900
ACABF00001,9240,12180,11880,11590,12980
ACABG00001,9730000,12860000,11980000,12460000,14520000
ACABH00001,2533000,3410000,4006800,3826000,4290000
ACABI00001,18600,24300,36500,25500,24800
ACABJ00001,4000,5000,5000,4500,4200
ACABK00001,3567000,3985000,5048780,4067000,5000000
ACABL00001,2672000,3198000,3538280,3392000,3460000
ACABM00001,23850,47800,32000,34000,44200
ACABN00001,2200,8000,4200,2850,2750
ACABO00001,65000,70000,78000,80850,77300
ACABP00001,24300,31500,35000,35025,35312
ACABQ00001,4070,5490,5440,5190,6190
ACABR00001,2860,3790,3760,3630,4140
ACAID00001,,,,34000,34000
ADABS00001,35000,35000,36000,38000,42000
ADABT00001,30000,30000,30000,30000,31000
ADABU00001,28000,28000,29000,30000,31000
ADABV00001,4500,5100,6800,7400,7400
ADABW00001,9900,11500,15000,16000,16000
ADABX00001,5200,5200,5200,7500,7500
ADABY00001,66100,69040,75860,91086,95650
ADABZ00001,1800,2100,2700,2700,2600
ADACA00001,1450,1900,2400,2400,2300
ADACB00001,5100,6300,6500,6500,6300
ADACC00001,2000,2400,3000,3000,2900
ADACD00001,1600,1900,2700,2700,2600
ADACE00001,5500,6400,7000,7000,6800
AEACF00001,490,700,2747,,
AEACG00001,63000,63000,70000,77000,77000
AEACH00001,29520,29520,29520,29520,29520
