item_code,predict_price
AAAAA00001,1091
AAAAB00001,1087452
AAAAC00001,860111
AAAAD00001,1091
AAAAE00001,1091
AAAAF00001,1091
AAAAG00001,1312
AAAAH00001,1220103
AAAAI00001,1000
AAAAJ00001,1137
AAAAK00001,1137
AAAAL00001,6102
AAAAM00001,4201
AAAAN00001,2441780
AAAAO00001,9873
AAAAP00001,1447
AAAAQ00001,1500
AAAAR00001,1755
AAAAS00001,2828
AAAAT00001,2074
AAAAU00001,1392
AAAAV00001,42506
AAAAW00001,611
AAAHR00001,899992
AAAHY00001,1116
AAAHZ00001,8449
ABAAX00001,4362575
ABAAY00001,9564
ABAAZ00001,3065
ABABA00001,3777
ABABB00001,1934
ABAIA00001,3748854
ABAIB00001,9907
ABAIC00001,3882
ACABC00001,17683
ACABD00001,18029
ACABE00001,17768
ACABF00001,13157
ACABG00001,14511288
ACABH00001,4288658
ACABI00001,24911
ACABJ00001,4220
ACABK00001,4996932
ACABL00001,3459576
ACABM00001,44239
ACABN00001,2901
ACABO00001,77615
ACABP00001,33942
ACABQ00001,6069
ACABR00001,4201
ACAID00001,33174
ADABS00001,42728
ADABT00001,30668
ADABU00001,30668
ADABV00001,7444
ADABW00001,15716
ADABX00001,7528
ADABY00001,95384
ADABZ00001,2640
ADACA00001,2259
ADACB00001,6102
ADACC00001,2901
ADACD00001,2628
ADACE00001,6781
AEACF00001,560839
AEACG00001,77091
AEACH00001,30265
AEACI00001,10611
AEACJ00001,7528
AEACK00001,8442
AEACL00001,95077
AEACM00001,105960
AEACN00001,304995
AEACO00001,63753
AEACP00001,1400603
AEACQ00001,112211
AEAJY00001,989
AEAJZ00001,302048
AFACR00001,663
AFACS00001,561227
AFACT00001,562849
AFACU00001,44926
AFACV00001,9919
AFACW00001,30723
AFACX00001,38402
AFACY00001,46273
AFACZ00001,2901
AFADA00001,570776
AFADB00001,88367
AFADC00001,10611
AFADD00001,9452
AFADE00001,580387
AFADF00001,222091
AFADG00001,95248
AFADH00001,117594
AFADI00001,561666
AFADJ00001,9391
AFADK00001,1983
AFADL00001,14220
AFADM00001,33721
AFADN00001,9919
AFADO00001,4733
AFAHS00001,51703
AFAHT00001,561666
AFAJU00001,708
AFAJV00001,1191
AFAJW00001,76199
AFAJX00001,16317
AGADP00001,559510
AGADQ00001,6018
AGADR00001,562747
AGADS00001,4201
AGADT00001,7496
AGADU00001,562838
AGADV00001,52151
AGADW00001,852
AGADX00001,563319
AGAIR00001,2307
AGAIS00001,2955
AGAIT00001,1060
AGAIU00001,941
AGAIV00001,24825
AGAJE00001,475621
AHADY00001,11893
AHADZ00001,130139
AHAEA00001,588600
AIAEB00001,5248
AJAEC00001,686
AJAED00001,2850
AJAEE00001,967
AJAEF00001,562838
AJAEG00001,23646
AJAEH00001,561227
AJAEI00001,17768
AJAEJ00001,3252
AJAEK00001,561314
AJAEL00001,14566463
AJAEM00001,133452
AJAEN00001,81835
AJAEO00001,1983
AJAEP00001,115358
AJAEQ00001,21363
AJAHO00001,21363
AKAER00001,570776
AKAES00001,983151
AKAET00001,3828
AKAEU00001,562482
AKAEV00001,175150
AKAEW00001,9437
AKAEX00001,601978
AKAHP00001,2139940
AKAKA00001,90513
ALAEY00001,762
ALAEZ00001,1178039
ALAFA00001,1106517
ALAFB00001,1553901
ALAFC00001,1246885
ALAFD00001,1014857
ALAFE00001,586582
ALAFF00001,570916
ALAFG00001,995947
ALAFH00001,899651
ALAFI00001,597685
ALAFJ00001,594682
ALAFK00001,590550
ALAFL00001,610400
ALAFM00001,593629
ALAFN00001,616089
ALAFO00001,2828
ALAFP00001,1568677
ALAFQ00001,38340
ALAFR00001,9919
ALAFS00001,3555
ALAFT00001,682989
ALAFU00001,649340
ALAFV00001,225257
ALAFW00001,112803
ALAFX00001,300043
ALAHU00001,1120678
ALAHV00001,2042860
ALAHW00001,2749997
ALAHX00001,586165
ALAKB00001,2497327
ALAKC00001,1860942
ALAKD00001,3000115
ALAKE00001,3000115
ALAKF00001,1800029
ALAKG00001,3609
ALAKH00001,3229226
AMAFY00001,23251
AMAFZ00001,38344
AMAGA00001,185860
AMAGB00001,28255
AMAGC00001,47849
AMAGD00001,37828
AMAGE00001,26368
AMAGF00001,29857
AMAGG00001,44921
AMAGH00001,585021
AMAGI00001,739
AMAGJ00001,739
AMAGK00001,13157
AMAGL00001,27653
ANAGM00001,561666
ANAGN00001,560733
ANAGO00001,559510
ANAGP00001,559122
ANAGQ00001,7401
ANAGR00001,559122
ANAGS00001,561459
ANAHQ00001,561619
ANAKW00001,9552
ANAKX00001,4746
ANAKY00001,6835
AOAGT00001,46559
AOAGU00001,60205
AOAGV00001,81411
AOAGW00001,2640228
AOAGX00001,1365816
AOAGY00001,132442
AOAGZ00001,2343875
AOAHA00001,554961
AOAHB00001,6781
AOAHC00001,1683796
AOAKZ00001,566829
APAHD00001,559930
APAHE00001,566617
APAHF00001,15540
APAHG00001,259733
APAHH00001,587573
APAHI00001,589328
APALA00001,445797
AQAHJ00001,231410
ARAHK00001,599717
ARAHL00001,499490
ASAHM00001,3181523
ASAHN00001,13449404
AUAJI00001,1037
AUAJK00001,941
