item_code,category,item,specification,unit, unit_price , purchase_year ,purchase_date,quantity,total_price,order_date,delivery_date,lead_time
AAAAA00001,철강재,원형봉강,SS275 16㎜,kg, 700 ,2020,2020-10-06,14," 9,800 ",2020-09-21,2021-03-04,164
AAAAB00001,철강재,보통철근,SD300 D10㎜,M/T," 685,000 ",2020,2020-04-09,22," 15,070,000 ",2020-03-18,2020-05-29,72
AAAAC00001,철강재,고장력철근,SD400 D10㎜,M/T," 690,000 ",2020,2020-04-19,32," 22,080,000 ",2020-04-10,2020-05-20,40
AAAAD00001,철강재,등변ㄱ형강(소형),65×65×6㎜,kg, 700 ,2020,2020-06-09,37," 25,900 ",2020-06-05,2020-08-01,57
AAAAE00001,철강재,ㄷ형강,100×50×5㎜,kg, 700 ,2020,2020-03-15,45," 31,500 ",2020-03-15,2020-03-16,1
AAAAF00001,철강재,4각강,12㎜,kg, 700 ,2020,2020-07-17,1, 700 ,2020-06-28,2020-07-05,7
AAAAG00001,철강재,평강,4.5t×50㎜,kg, 700 ,2020,2020-07-09,38," 26,600 ",2020-06-14,2020-10-11,119
AAAAH00001,철강재,구조용H형강,"100×100×6×8㎜(압연,중형)",M/T," 790,000 ",2020,2020-07-15,15," 11,850,000 ",2020-07-12,2020-07-23,11
AAAAI00001,철강재,열연박판,"SS275 1.4≤T≤1.6㎜ (914*1,829)",kg, 760 ,2020,2020-02-03,35," 26,600 ",2020-02-03,2020-03-17,43
AAAAJ00001,철강재,열연후판,"SS275 12.0㎜≤T≤20.0㎜(2,438*6029)",kg, 710 ,2020,2020-06-20,19," 13,490 ",2020-05-22,2020-11-11,173
AAAAK00001,철강재,냉연강판,CR(SCP1) 1.0㎜≤T<1.75㎜,kg, 790 ,2020,2020-03-07,45," 35,550 ",2020-03-02,2020-05-22,81
AAAAL00001,철강재,전기아연도강판,"0.35㎜ ≤T〈0.4 ㎜((914*1,829)",매," 4,690 ",2020,2020-02-19,26," 121,940 ",2020-02-11,2020-07-20,160
AAAAM00001,철강재,아연도강판,"T≤0.20㎜ (914*1,829)",매," 3,270 ",2020,2020-11-13,45," 147,150 ",2020-10-22,2021-02-12,113
AAAAN00001,철강재,석도강판,0.25×5.6/5.6(50×50),M/T," 1,671,000 ",2020,2020-01-09,32," 53,472,000 ",2019-12-21,2020-02-02,43
AAAAO00001,철강재,구조용탄소강관(백관),76.3*3.2mm,m," 6,790 ",2020,2020-10-19,34," 230,860 ",2020-09-20,2020-11-19,60
AAAAP00001,철강재,보통철선,#10   3.2㎜,kg," 1,070 ",2020,2020-09-23,39," 41,730 ",2020-08-24,2021-02-17,177
AAAAQ00001,철강재,소철선(어닐링),＃6   4.0㎜,kg," 1,130 ",2020,2020-05-18,21," 23,730 ",2020-05-07,2020-07-17,71
AAAAR00001,철강재,아연도철선,1종 #8   4.0㎜,kg," 1,250 ",2020,2020-08-28,30," 37,500 ",2020-08-01,2020-11-03,94
AAAAS00001,철강재,경강선,선경 1.0∼1.19㎜,kg," 2,460 ",2020,2020-12-06,42," 103,320 ",2020-11-15,2021-03-09,114
AAAAT00001,철강재,PC강선2종,단선12.7ø단중0.785/m,kg," 1,710 ",2020,2020-08-15,50," 85,500 ",2020-08-05,2020-11-01,88
AAAAU00001,철강재,와이어로프,6×24(도금)마심 10㎜,m, 980 ,2020,2020-10-05,19," 18,620 ",2020-09-16,2020-09-27,11
AAAAV00001,철강재,철못,N25   23kg(일반용),Box," 36,460 ",2020,2020-04-17,32," 1,166,720 ",2020-04-13,2020-10-10,180
AAAAW00001,철강재,육각볼트,M6×20㎜,EA, 16 ,2020,2020-01-09,41, 656 ,2019-12-30,2020-02-22,54
ABAAX00001,특수강재,스테인리스강판(STS304 2B),STS304 2.0mm,M/T," 3,100,000 ",2020,2020-06-09,13," 40,300,000 ",2020-05-26,2020-06-30,35
ABAAY00001,특수강재,스테인리스선(STS304),0.3㎜,kg," 8,800 ",2020,2020-05-28,6," 52,800 ",2020-04-30,2020-07-13,74
ABAAZ00001,특수강재,구조용스테인리스관(원형),STS304 12.7×1.0㎜(0.291kg/m),m," 1,350 ",2020,2020-07-20,37," 49,950 ",2020-07-11,2020-09-04,55
ABABA00001,특수강재,회주철품(KSD4301),GC-200,kg," 2,500 ",2020,2020-02-03,2," 5,000 ",2020-01-21,2020-02-27,37
ABABB00001,특수강재,기계구조용탄소강,SMxxC Φ25∼250,kg," 1,100 ",2020,2020-05-05,42," 46,200 ",2020-05-03,2020-07-24,82
ACABC00001,비철제품,동판(1종),0.5㎜×400㎜×1200㎜(KSD 5201),kg," 11,290 ",2020,2020-03-11,29," 327,410 ",2020-02-19,2020-06-27,129
ACABD00001,비철제품,동봉,두께 6.1∼10㎜,kg," 12,000 ",2020,2020-07-11,31," 372,000 ",2020-06-25,2020-07-01,6
ACABE00001,비철제품,동선,7.0∼12.9㎜(경질AA급),kg," 12,340 ",2020,2020-09-05,43," 530,620 ",2020-08-09,2020-09-16,38
